UniqueCount	AmbigCount
2	86
3	49
1	86
0	85
49	3435
267	1429
990	3566
51	1421
99	260
174	577
295	1855
4121	381
4	6
0	0
2	0
4	27
0	23
69	46
1	10
13	16
0	2
4	6
0	0
0	0
5	0
2	42
8	2
1	5
0	4
1	9
0	6
0	6
0	0
0	0
2	1
13	118
0	3
18	74
0	5
6	1
0	15
28	28
1	0
0	0
0	0
10	3
7	14
0	0
0	21
3	29
0	3
95	202
6	191
0	20
0	0
21	55
0	33
1	37
9	2
13	21
2	8
6	8
3	12
18	12
0	63
92	26
0	57
21	103
11	52
0	9
12	24
0	0
1	55
0	25
0	32
0	6
13	1
0	6
3	1
16	63
10	3
20	1
0	0
0	146
1	130
4	2
88	223
0	16
71	145
2	105
0	84
1	156
12	0
1	6
0	3
9	289
61	201
0	185
24	4
1	4
2	44
0	3
0	22
0	0
2	0
2	0
11	70
3	763
188	1257
5	642
1	165
2	221
5	397
7	11
0	5
56	954
3	2
5	4
3	5
0	0
0	0
0	1
81	281
0	5
0	1
0	19
20	26
0	22
0	7
0	23
37	5
0	0
9	0
53	321
13	382
58	3
126	3
0	8
0	26
0	9
1	504
0	487
1	2
0	0
0	0
5	2
2	233
7	43
6	92
0	217
76	265
2	211
0	0
0	19
0	1
1	3
10	170
12	175
0	0
11	85
2	1
4	85
1	1
6	0
336	1
0	417
0	376
0	405
0	364
3	2
10	386
8	24
60	1157
4	505
0	1
0	0
0	0
0	0
23	0
0	0
0	0
2	0
0	0
10	7
0	0
0	0
0	0
7	1
1	0
0	0
0	0
1	0
0	2
1	0
0	0
1	0
0	0
0	2
0	17
0	56
0	56
0	17
1	15
10	16
2	0
2	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
10	0
0	0
7	0
0	25
5	26
0	34
11	1
0	0
1	3
0	0
4	0
2	0
1	0
1	0
2	6
0	0
207	170
1	318
9	304
42	2
0	5
0	0
4	0
0	0
1	0
0	1
33	3
45	51
11	3
6	1
97	33
3	2
1	0
0	0
0	0
2	1
0	0
3	1
1	1
0	0
0	0
0	0
2	6
1	0
0	5
4	2
4	3
6	0
1	0
0	0
9	9
1	8
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
0	0
31	2
128	1
0	145
2	185
2	3
3	0
25	9
0	0
0	0
0	0
0	0
0	0
0	0
0	12
0	0
22	32
0	0
3	0
5	2
2	2
305	3
53	1
2	1
26	10
0	0
0	0
5	0
0	0
4	0
2	0
3	1
0	0
3	0
9	26
0	2
3	0
10	2
1	0
22	11
0	8
0	1
0	0
16	18
1	5
1	5
0	0
0	5
5	0
1	0
0	0
0	2
0	2
0	0
19	3
0	0
248	2
11	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
9	3
0	2
17	0
0	0
0	1
0	1
10	0
27	0
0	0
0	0
2	4
1	0
0	0
0	0
0	0
0	0
4	3
1	1
4	2
31	41
21	2
0	0
0	39
0	10
17	42
1	19
0	1
2	0
1	0
13	1
6	1
4	0
0	1
0	0
0	0
3	3
25	53
1	6
9	0
0	0
1	0
4	5
1	1
2	0
2	0
0	0
31	18
1	27
3	66
112	16
16	3
7	48
0	2
0	0
0	0
20	27
1	6
0	3
1	25
0	0
0	0
0	30
0	0
1	2
0	0
0	1
0	3
0	0
8	7
3	2
1	1
0	0
0	0
0	0
14	50
1	28
19	38
0	0
0	1
5	3
0	0
3	1
2	0
0	0
3	4
0	0
0	0
8	1
0	38
0	44
37	31
23	2
0	154
0	153
0	1
2	4
13	13
0	0
0	1
0	1
1	1
0	0
0	0
14	15
0	0
6	73
10	79
1	7
79	232
88	9
0	0
11	5
2	4
3	11
2	12
0	2
0	0
11	1
6	0
1	1
1	0
0	0
1	1
0	1
0	0
1	0
2	6
3	0
115	5
2	0
6	0
6	4
11	152
754	165
3	0
0	0
1	0
15	12
0	1
0	0
0	0
0	0
0	0
0	0
0	1
2	4
0	0
3	0
1	2
0	0
0	0
0	0
0	0
0	2
0	2
69	0
47	5
5	11
0	8
4	2
16	1
0	1
1	0
1	0
0	0
11	0
7	0
3	0
0	0
0	0
0	0
0	0
15	3
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
110	58
2	0
0	0
0	0
0	0
1	2
0	0
0	0
0	0
6	3
0	1
0	17
0	0
0	0
0	0
4	9
4	3
0	0
4	16
3	30
2	81
21	134
3	0
0	0
4	1
0	0
20	38
5	7
11	28
0	1
0	0
6	0
45	24
0	20
0	0
0	0
0	0
17	8
0	8
0	8
1	22
0	24
4	216
3	219
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
6	0
0	10
0	1
7	1
13	14
0	0
0	0
65	0
0	0
0	0
0	0
0	0
7	18
8	21
0	8
8	9
5	5
3	29
0	63
0	43
0	41
3	38
2	0
0	1
0	1
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
142	593
11	49
4	7
0	0
0	1
8	13
7	12
0	0
7	0
6	22
23	28
0	0
0	0
1	13
9	15
1	11
0	0
0	0
0	2
1	2
0	0
0	0
5	20
2	10
3	40
70	199
0	0
0	0
9	3
3	0
0	417
0	718
15	646
0	429
0	727
0	499
2	0
5	76
1	0
1	0
1	1
2	0
3	2
0	3
0	4
0	6
10	9
0	4
3	3
14	0
0	0
5	7
13	19
6	95
0	0
0	0
4	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
13	15
0	1
1	18
0	238
0	248
19	167
0	462
0	473
16	32
5	0
1	0
2	0
0	0
4	91
5	52
0	7
0	222
0	0
0	0
36	1
132	180
96	81
3	81
14	8
12	0
0	0
0	0
0	0
344	441
269	686
0	0
0	0
603	592
1	0
1	0
0	1
0	0
0	0
0	0
0	1
0	15
5	46
0	0
1	43
1	2
3	0
0	125
0	27
2	129
1	1
19	14
0	13
1	0
1	1
0	0
0	0
0	1
2	0
0	0
0	0
0	0
0	0
0	0
0	0
8	1
0	0
1	0
1	0
16	6
3	30
5	41
2	45
8	46
1	0
3	1
2	1
3	0
5	0
69	34
0	0
0	2
0	0
3	0
7	3
52	315
19	5
0	0
