UniqueCount	AmbigCount
2	47
7	30
0	47
2	46
5	193
26	176
58	207
0	197
35	17
721	1759
0	210
3150	242
6	1
3	5
0	0
5	41
17	57
3	24
2	11
10	9
0	4
0	5
11	9
0	0
0	0
0	39
0	0
1	10
0	2
0	15
2	14
0	13
0	0
0	0
5	3
10	98
0	5
7	66
0	0
0	0
55	71
36	50
4	0
3	6
0	0
6	0
0	0
0	0
0	27
1	38
0	4
41	45
10	82
2	14
0	0
0	0
1	34
2	42
0	0
0	2
0	0
1	5
0	2
1	3
0	3
8	3
0	3
2	10
0	6
0	0
0	2
0	0
0	35
0	53
0	63
0	13
3	0
0	1
0	3
21	60
0	0
2	1
0	0
0	150
0	128
0	0
83	208
0	11
41	184
0	95
0	85
1	208
13	0
0	9
0	0
3	128
12	53
0	68
8	5
0	4
0	56
0	5
0	21
0	0
0	0
7	0
20	44
0	624
165	1011
0	473
0	135
5	167
8	371
1	4
0	2
81	1131
1	0
0	0
1	2
0	0
0	2
0	0
16	155
0	1
2	2
6	25
15	26
2	23
2	13
0	4
0	0
0	1
9	0
3	489
20	533
30	3
0	3
5	8
1	15
1	11
3	485
0	474
0	0
1	1
0	1
1	0
3	189
1	43
10	72
0	129
11	145
1	124
0	0
0	52
1	51
8	0
1	68
0	64
0	1
3	91
3	2
0	91
0	0
2	2
378	2
0	325
0	297
0	351
0	320
1	1
1	292
0	0
9	1075
11	507
0	0
2	0
0	1
0	15
6	0
11	0
0	0
5	0
3	3
0	0
4	3
0	0
4	0
6	4
3	1
14	4
0	0
0	0
3	6
0	0
1	0
5	0
0	0
0	0
0	59
0	49
0	59
0	69
0	7
5	9
0	0
0	0
0	0
0	0
0	0
0	2
1	3
0	0
0	0
9	0
0	0
15	0
3	4
0	4
4	51
0	0
0	1
0	0
0	0
1	0
5	2
0	0
1	0
0	3
0	0
209	172
2	290
10	271
39	0
0	5
0	0
17	4
3	0
0	1
3	2
25	0
19	24
4	2
11	2
23	14
0	0
0	0
0	0
0	0
4	0
3	1
4	3
0	3
0	1
1	1
0	0
2	2
0	0
0	2
0	0
2	1
4	0
0	0
0	0
6	12
1	10
0	0
0	0
1	0
0	0
0	2
1	1
8	4
0	0
2	3
3	0
0	0
0	0
32	2
123	0
0	117
0	162
1	6
0	0
18	13
2	1
1	0
0	0
0	1
1	0
0	0
5	42
1	23
23	48
15	0
8	0
6	0
1	3
220	6
0	0
0	0
0	0
0	0
0	0
4	0
0	4
0	0
0	1
0	1
0	0
0	0
0	7
1	1
0	1
0	0
1	0
1	3
0	8
2	0
0	1
32	21
0	3
29	21
1	0
0	3
7	0
1	0
2	0
0	6
0	6
23	34
0	1
4	1
239	5
0	0
0	0
1	3
2	2
0	2
0	4
0	0
0	0
0	0
6	2
1	2
0	0
0	0
21	41
12	1
1	5
8	0
0	0
0	0
0	0
1	1
19	0
1	1
0	0
24	4
0	0
2	1
0	1
0	1
0	0
3	2
0	3
11	3
23	35
12	2
6	1
0	19
1	11
12	37
0	18
20	10
3	0
0	0
9	2
5	5
3	3
0	1
0	0
1	0
0	4
16	47
0	0
13	0
1	0
37	62
4	3
1	2
0	0
4	0
0	0
26	21
3	1
0	0
0	0
25	6
0	0
0	5
4	0
0	1
0	0
8	4
12	10
0	0
0	0
0	3
1	66
1	4
0	0
0	0
0	0
0	5
5	2
4	1
0	2
1	1
0	0
2	0
0	0
7	59
13	30
34	46
0	0
0	0
8	5
0	0
0	0
2	0
8	1
0	3
0	0
0	0
0	0
0	24
0	25
0	17
0	1
0	1
0	1
2	0
0	1
13	10
0	0
0	34
3	10
1	36
0	1
0	17
7	8
0	0
8	100
0	85
2	14
44	245
38	7
2	0
7	5
3	9
4	26
6	27
0	5
0	1
2	0
0	0
1	2
6	4
0	0
0	0
0	0
4	3
0	0
1	3
0	2
79	0
0	1
1	0
5	0
15	133
837	149
1	1
1	0
0	0
1	3
0	0
0	0
0	0
0	0
0	0
0	0
0	12
3	11
3	1
3	0
4	8
0	0
0	0
5	0
0	0
0	5
1	6
99	0
4	0
1	13
1	3
1	1
16	2
0	0
0	0
0	0
0	0
10	0
0	1
5	0
0	0
1	8
0	14
0	14
14	3
0	0
0	0
0	0
0	0
1	0
9	2
1	0
0	0
154	35
0	0
1	0
0	0
0	0
0	0
0	2
2	0
0	0
9	2
0	2
0	0
4	3
0	0
1	3
14	23
6	1
2	0
4	21
16	29
3	108
52	299
1	0
0	0
0	0
1	0
14	24
2	3
13	26
0	0
0	0
11	0
0	1
0	1
0	1
14	12
0	0
14	3
0	3
7	19
1	32
0	37
2	173
1	178
0	0
0	0
2	2
0	3
1	2
1	0
0	0
0	0
0	0
2	0
0	8
0	0
4	1
11	10
0	0
0	0
21	0
0	0
8	4
2	0
0	0
7	21
4	22
0	4
4	4
5	3
1	28
0	6
0	1
0	1
2	0
0	0
0	11
0	6
0	0
1	0
0	0
0	0
6	6
0	3
0	2
0	1
28	610
2	79
0	0
0	0
0	0
6	11
3	21
0	0
0	0
0	0
0	1
0	0
0	0
0	28
21	33
1	13
11	9
3	9
0	3
0	3
0	0
0	0
25	51
11	19
12	105
247	498
0	0
3	1
19	0
0	0
0	525
0	525
6	459
2	533
0	534
32	440
0	0
5	95
0	0
0	0
0	0
1	0
14	4
0	6
1	6
0	15
1	15
0	5
1	4
26	0
0	0
0	0
0	1
4	47
2	0
0	0
6	18
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
4	0
0	0
0	10
20	7
2	12
0	302
0	328
29	226
0	576
0	604
98	142
0	0
2	0
0	0
0	0
23	103
2	42
2	4
0	204
4	4
4	1
0	0
142	164
96	71
1	71
0	0
26	0
0	0
1	0
2	0
342	369
