UniqueCount	AmbigCount
1	57
5	27
0	58
1	58
35	1216
10	55
327	1282
9	517
200	53
739	2035
72	680
797	67
6	6
0	0
0	0
0	30
1	33
10	45
0	8
0	0
1	2
0	0
1	2
0	0
1	0
4	91
0	0
13	38
0	14
1	8
0	6
5	6
8	0
0	0
2	0
11	92
0	4
15	75
3	1
0	0
0	10
0	12
7	0
3	18
0	0
21	7
13	12
5	6
0	0
0	0
0	0
33	187
31	155
0	33
0	0
0	1
22	105
0	75
0	0
3	1
0	0
3	6
5	13
20	36
0	170
253	88
1	135
66	320
21	162
0	29
3	12
0	0
0	58
0	53
1	61
1	67
3	0
0	5
1	0
23	56
0	0
3	3
67	0
0	84
0	71
8	8
31	122
0	4
62	211
2	78
0	59
0	12
20	9
10	11
0	0
8	209
0	94
0	143
22	6
3	0
0	39
0	7
0	41
0	0
0	0
3	0
11	73
4	734
159	1146
1	496
0	114
0	192
1	412
2	5
1	6
121	748
0	14
0	0
4	12
0	0
1	2
0	18
91	712
0	1
0	0
0	13
15	16
0	15
4	14
0	23
44	9
0	0
5	0
6	348
45	340
5	3
11	5
1	10
0	21
2	25
0	490
0	480
21	8
0	1
0	5
0	0
4	290
6	78
10	106
0	149
35	192
4	153
0	0
0	8
0	0
2	4
7	89
3	93
1	2
7	115
4	3
1	114
2	2
0	0
404	0
0	410
0	392
0	396
0	377
3	3
3	373
0	0
22	807
8	455
5	0
4	0
0	0
0	1
0	0
0	0
3	1
2	0
0	0
0	0
1	1
0	0
0	0
4	0
1	2
3	1
6	0
1	0
1	7
1	2
2	1
1	0
9	1
0	0
0	65
0	50
0	52
0	67
7	9
0	7
0	0
0	0
0	0
5	3
0	0
6	8
23	10
0	0
0	0
8	0
0	0
20	1
3	6
0	6
2	25
0	0
4	0
0	0
0	0
7	0
0	4
5	0
0	0
3	13
0	0
271	241
1	341
5	328
278	2
1	15
8	0
0	1
0	0
7	0
0	0
54	6
40	11
10	0
6	1
25	13
3	11
1	1
0	0
1	0
2	0
0	0
9	3
2	2
0	0
0	0
13	3
1	6
2	0
0	6
0	2
0	2
6	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
1	57
19	109
2	2
5	1
0	0
3	0
0	0
4	2
4	2
3	1
127	1
36	256
4	290
3	9
0	0
46	9
4	1
