UniqueCount	AmbigCount
1	66
1	39
0	68
0	64
2	700
37	168
161	727
3	876
47	14
30	363
133	1156
318	25
5	7
3	8
0	0
0	35
7	45
67	47
3	13
0	0
13	13
0	7
1	13
0	0
0	0
3	114
0	0
9	43
0	5
1	8
3	7
4	8
1	2
0	0
1	1
4	153
0	1
6	40
0	0
0	0
26	39
3	18
6	0
3	5
0	0
15	4
1	0
0	0
6	18
0	21
0	7
32	84
5	106
2	16
12	99
0	5
0	27
1	36
0	0
0	2
1	1
3	5
11	29
9	50
0	196
183	107
0	150
58	349
23	204
0	68
0	0
0	0
0	31
0	81
2	93
0	29
3	0
0	3
2	3
13	49
6	3
2	0
3	0
0	107
16	109
1	0
25	179
0	16
46	210
0	97
2	86
0	14
18	0
0	3
2	0
3	245
7	85
0	152
13	3
4	7
0	37
0	7
1	28
0	0
0	0
0	1
7	51
0	814
205	1300
3	532
0	93
4	240
13	472
0	5
0	4
89	826
0	0
0	0
1	5
11	2
0	0
0	0
49	130
0	1
0	0
0	6
9	6
0	6
0	11
1	10
0	2
2	0
6	0
0	615
10	800
6	4
138	10
1	4
1	24
0	6
13	489
0	477
12	6
3	2
1	2
0	0
5	153
2	37
14	99
3	198
62	185
0	189
0	0
0	4
0	0
0	0
9	28
3	29
3	1
2	75
0	1
1	75
0	1
0	0
489	4
0	407
0	369
0	426
0	388
3	1
6	366
5	15
14	1074
9	523
0	0
0	0
0	0
0	1
1	0
5	0
0	0
6	0
3	0
2	0
2	2
0	0
8	0
12	5
27	10
0	0
0	0
0	0
0	1
2	1
1	0
1	0
0	0
0	2
0	26
0	57
0	64
0	32
0	20
11	20
1	0
1	0
0	0
12	4
3	2
1	0
0	0
8	1
1	2
5	0
0	0
19	0
3	12
1	12
0	27
0	0
0	0
0	2
0	0
8	0
0	0
0	0
3	0
2	15
0	0
312	275
2	530
15	509
18	3
0	5
0	0
0	0
8	1
8	0
2	1
37	1
18	28
4	4
3	0
13	9
0	0
0	0
0	0
12	2
7	1
1	0
0	0
0	0
0	0
0	0
0	0
2	9
0	0
0	7
3	11
6	13
6	0
0	0
0	0
1	3
0	1
0	0
0	0
2	0
10	213
52	434
3	1
11	12
0	0
5	1
0	0
0	0
0	0
7	1
153	1
1	137
3	189
2	4
0	0
7	12
0	0
0	0
1	0
0	0
0	0
8	1
0	25
0	0
40	77
1	1
8	0
11	4
1	3
312	6
0	0
1	0
0	0
0	0
0	0
0	0
9	5
1	0
1	2
0	6
2	0
0	0
0	5
1	0
2	0
0	0
0	0
1	3
5	38
2	0
8	38
0	19
0	22
18	24
0	0
0	2
3	0
5	0
0	0
0	1
1	1
16	13
0	0
6	0
240	8
4	0
0	0
0	1
0	2
1	3
0	0
0	0
0	4
3	8
2	1
2	0
1	1
0	0
17	36
6	2
0	0
21	1
0	0
0	2
2	2
0	0
19	0
2	0
0	0
31	6
8	2
5	5
1	5
0	0
0	0
0	0
0	0
9	0
26	56
21	3
4	6
0	34
2	4
14	48
0	34
0	0
0	0
2	3
17	6
12	5
6	3
0	0
0	0
2	2
3	9
0	1
0	0
11	0
0	0
74	85
1	1
0	1
0	0
0	0
0	0
23	23
5	0
0	0
1	0
69	25
0	0
0	21
6	0
6	5
0	3
0	9
18	1
3	4
0	0
1	2
1	48
2	4
1	2
0	0
0	0
0	4
0	0
4	1
0	0
0	2
0	0
0	2
0	3
4	75
16	70
30	77
25	12
0	0
14	4
11	1
0	0
0	0
0	0
0	1
0	0
18	5
0	0
0	38
0	44
18	35
0	0
0	143
0	143
0	0
0	4
6	3
0	0
0	0
0	0
0	0
1	0
0	0
9	0
5	21
1	33
20	54
2	0
61	256
14	4
7	3
2	1
0	5
1	6
2	6
1	6
4	15
1	0
0	0
1	0
8	0
1	1
2	0
6	0
4	4
7	0
24	269
30	9
54	1
0	0
0	0
2	0
0	288
1254	303
3	4
0	0
0	0
7	6
2	0
0	0
3	0
0	0
0	0
0	0
0	5
2	9
2	0
9	0
4	5
0	0
0	0
0	0
1	0
0	3
0	3
120	3
10	2
3	7
0	5
8	5
13	1
3	0
6	1
5	0
1	1
17	0
1	0
4	0
0	0
8	2
0	0
0	0
11	1
4	41
4	2
3	47
0	0
4	0
0	0
0	0
0	0
132	26
4	0
6	0
5	0
12	1
0	0
0	1
1	1
0	0
8	0
2	0
0	0
1	3
0	0
13	150
6	122
0	7
0	0
0	0
238	195
0	13
1	14
0	0
0	0
1	0
9	0
0	5
7	10
9	22
24	22
2	17
7	0
0	0
0	0
0	0
33	11
1	0
14	15
1	15
0	18
0	34
0	34
3	321
0	327
1	2
0	0
0	0
0	0
1	0
1	0
0	0
2	4
2	4
0	0
0	7
2	1
9	0
10	14
10	1
3	0
32	0
1	0
10	4
1	0
0	0
6	17
4	17
0	6
7	6
1	2
0	5
3	28
2	5
1	1
2	3
0	0
2	17
0	14
1	0
0	0
0	0
0	0
2	4
0	3
1	0
0	1
88	634
3	52
15	2
0	0
0	0
8	2
6	9
0	0
0	0
0	0
0	0
0	0
0	0
0	10
9	9
0	13
1	0
0	0
0	3
1	4
1	0
0	0
1	5
0	3
1	6
23	44
0	0
0	0
107	20
2	0
1	922
0	886
6	795
0	950
0	910
66	695
1	0
8	106
0	0
0	0
0	0
0	0
2	0
0	11
0	11
0	10
1	10
2	13
10	12
25	0
2	3
0	1
21	13
3	130
1	0
0	0
4	11
0	0
0	0
7	1
0	0
0	0
4	1
0	0
0	0
2	0
0	0
0	23
21	5
1	18
0	377
0	408
32	247
0	650
0	681
22	12
0	0
2	1
0	1
0	0
1	149
3	54
1	5
15	311
0	0
17	3
1	0
223	275
90	83
0	81
0	0
12	0
2	0
35	3
0	0
65	92
16	63
2	0
0	0
737	1012
2	0
0	0
13	122
8	3
0	0
0	0
0	124
4	36
4	58
1	4
1	54
0	0
1	0
0	148
0	41
9	148
2	0
11	3
27	5
1	0
6	3
0	0
0	0
0	3
2	0
17	7
0	0
0	0
0	0
0	0
0	0
1	0
0	0
11	5
0	0
11	6
2	41
6	58
9	31
3	31
1	0
0	0
0	1
0	0
3	1
87	46
0	0
17	9
0	1
0	0
23	4
2	308
2	35
0	14
5	61
12	75
0	0
0	0
1	0
1	1
1	0
0	0
9	7
5	7
0	7
1	0
0	0
3	4
29	58
0	0
34	3
0	0
0	0
1	12
9	4
0	12
0	3
0	0
0	0
17	2
0	0
8	9
0	1
0	0
6	5
4	1
0	0
0	0
0	0
0	0
10	16
2	16
1	0
0	0
3	0
2	22
29	72
0	57
3	16
0	0
0	0
0	0
3	0
7	0
1	0
0	2
0	0
2	14
7	17
0	0
2	0
0	0
0	0
0	0
18	33
1	2
0	0
1	0
87	5
0	0
5	10
1	0
0	2
2	0
1	0
0	0
0	0
2	1
0	6
1	27
2	15
0	9
0	184
0	204
0	191
0	144
0	171
2	1
0	14
0	0
0	0
6	11
7	12
14	2
0	0
0	0
0	52
0	0
0	0
1	0
1	0
2	0
4	0
3	1
4	1
0	3
16	7
1	4
14	2
0	0
2	2
41	246
1	2
7	0
4	1
7	21
1	25
4	17
8	32
2	6
0	0
0	0
0	0
2	0
0	0
8	0
0	0
0	19
0	0
4	182
3	146
0	19
0	19
1	105
0	11
9	14
8	1
0	0
0	0
13	0
4	1
0	0
0	8
2	10
0	0
1	0
0	0
5	23
16	11
11	0
0	2
1	25
3	31
0	27
0	24
0	0
3	0
3	3
0	9
0	9
0	0
1	7
0	5
1	6
3	4
0	0
0	0
0	2
6	10
4	6
2	8
0	0
4	1
5	1
1	0
0	0
1	1
1	0
0	0
0	11
0	10
0	10
0	0
0	0
0	0
3	0
0	0
19	12
0	0
3	0
0	0
0	0
0	0
8	39
12	0
436	0
6	0
60	172
0	0
0	0
0	0
0	0
1	1
2	0
8	32
0	122
3	122
54	211
21	0
70	43
0	1
6	1
0	0
7	4
0	1
8	14
2	17
0	3
13	1
2	19
7	57
11	38
0	2
2	17
23	51
63	43
1	1
12	0
0	0
0	4
0	4
1	3
3	0
0	1
2	0
3	0
0	0
3	5
0	0
0	0
2	0
1	0
2	274
3	272
2	274
0	0
2	1
24	6
0	0
0	0
0	0
0	0
21	8
4	0
0	1
0	0
1	0
0	40
0	107
3	107
18	3
3	0
2	0
4	1
0	0
0	0
0	0
0	2
0	0
1	0
0	0
0	0
2	18
3	0
1	3
0	1
0	0
0	0
0	0
0	0
0	0
13	270
42	868
18	583
0	0
4	0
3	0
3	0
0	0
0	0
1	1
3	4
4	0
0	0
14	1
0	0
4	0
1	2
1	1
5	67
4	0
1	0
0	0
0	0
0	0
0	0
3	68
3	3
1	0
8	0
8	0
1	0
3	0
3	0
3	0
2	0
7	9
2	1
0	0
0	3
25	13
0	0
51	30
1	1
0	0
1	0
0	0
4	0
9	5
0	55
1	55
2	66
0	1
4	0
44	14
0	6
1	241
3	372
42	39
0	351
2	202
6	0
1	0
0	0
0	0
2	0
15	17
4	120
0	20
1	112
0	3
0	130
7	17
0	0
0	0
13	0
0	0
16	51
2	38
0	36
0	35
0	1
0	0
0	0
0	1
0	2
2	1
0	0
0	0
1	0
4	0
2	0
0	0
0	0
0	0
1	5
2	0
0	1
0	0
1	0
1	1
0	0
8	0
6	0
0	0
2	1
4	0
0	0
0	0
0	0
2	0
3	0
2	18
0	1
12	2
4	0
0	0
0	0
0	0
0	0
0	0
5	2
0	0
4	27
132	30
0	4
0	0
0	0
13	6
0	13
0	5
0	6
1	4
1	0
0	0
3	0
0	0
12	1
17	6
12	0
0	2
2	0
1	16
13	18
8	1
2	0
0	0
1	0
0	0
1	0
0	0
0	0
0	19
0	8
0	87
1	177
17	171
57	997
4	970
0	4
0	10
9	54
0	2
5	19
1	6
2	74
0	0
1	0
0	1
2	0
3	46
2	31
0	11
5	21
4	9
3	13
0	0
0	0
4	2
42	83
37	15
0	13
0	0
0	0
0	0
0	0
11	1
6	49
15	12
58	61
0	10
50	12
0	331
0	123
0	487
73	862
0	0
3	13
2	1
0	2
0	13
9	4
4	8
7	20
64	122
37	54
14	44
0	1
1	0
17	7
2	20
3	10
11	1
0	1
3	0
0	0
7	10
16	8
2	0
24	14
4	0
2	19
4	0
0	0
0	0
1	1
9	10
9	7
9	401
5	116
0	0
0	0
0	0
2	3
4	0
0	0
0	1
0	2
3	0
0	0
0	0
0	0
0	0
8	10
3	10
3	0
0	0
0	0
0	0
39	208
1	2
0	0
0	0
2	3
0	6
0	49
0	70
4	34
12	15
0	12
4	0
3	1
14	0
0	1
2	2
7	0
3	0
2	11
0	5
9	11
2	0
0	0
0	0
0	9
0	1
11	1
0	1
0	0
0	10
0	0
0	63
0	69
0	68
7	71
34	0
0	0
14	103
140	263
140	133
0	1
0	0
9	0
3	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	1
6	7
0	0
2	0
0	0
0	0
3	2
1	10
4	10
3	9
0	0
0	0
1	0
0	0
0	0
0	0
0	1
0	1
1	0
0	0
10	20
5	12
3	0
0	0
2	1
17	5
0	2
10	3
0	0
10	16
0	0
2	0
0	0
0	0
1	7
23	2
0	0
0	0
0	0
240	229
0	9
12	61
1	28
2	0
5	0
13	0
1	1
18	3
5	2
2	0
1	1
2	0
0	0
0	3
0	3
0	0
5	0
1	0
0	1
0	17
15	11
1	7
4	5
2	0
0	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
4	8
1	28
0	0
1	0
0	0
2	0
2	0
5	139
0	0
3	4
3	1
0	11
5	30
10	26
13	24
11	36
0	1
3	1
10	0
3	0
0	11
96	31
0	0
0	0
11	29
0	24
4	2
2	0
5	4
0	0
0	0
5	13
2	1
6	0
3	97
3	96
0	84
2	23
0	75
0	0
1	0
16	10
1	0
1	0
0	0
0	0
0	0
1	0
0	0
36	10
1	0
0	12
0	2
0	0
34	192
44	213
114	2
5	3
4	22
3	33
9	0
2	2
1	3
35	24
0	0
2	100
45	111
46	6
3	0
13	4
36	94
0	14
0	38
3	37
3	0
0	1
3	1
0	0
0	1
0	1
3	0
0	12
16	35
0	0
0	1
1	1
0	0
0	0
0	0
0	0
4	0
2	0
0	1
0	1
0	0
0	0
38	180
41	380
0	3
3	3
1	6
0	0
5	1
0	0
0	0
4	1
0	0
2	0
0	1788
86	1284
0	1788
1	11
4	39
0	16
10	13
0	0
5	3
1	1
4	0
8	83
37	83
2	3
2	3
0	0
3	0
0	0
3	2
1	0
0	1
2	1
0	0
2	2
3	0
1	0
0	0
7	0
0	0
0	0
6	0
1	190
0	7
45	200
0	0
10	0
0	0
0	0
8	0
0	0
0	1
5	0
14	4
3	1
2	0
1	0
0	0
0	0
1	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	7
0	1
0	0
5	28
0	0
1	0
4	0
0	0
0	0
1	2
2	4
0	0
0	0
0	40
150	43
0	0
1	3
1	3
0	0
3	280
1	291
4	4
1	14
37	4
0	0
5	5
2	8
3	1
2	3
1	0
4	1
0	0
0	0
0	1
0	11
0	1
2	1
4	0
5	0
0	0
123	73
0	6
3	0
0	0
73	44
0	3
0	0
5	14
3	10
125	52
0	28
1	28
299	38
3	0
3	3
0	70
0	0
5	94
2	122
0	33
35	40
0	0
2	1
8	2
2	0
2	0
0	0
12	33
3	0
10	0
0	0
0	0
12	4
0	0
0	0
0	2
0	2
0	0
0	0
8	0
0	0
0	0
9	5
4	16
0	0
3	0
9	1
0	1
0	1
0	0
21	7
14	7
0	0
1	0
0	0
4	9
61	255
10	92
0	0
0	0
0	0
1	1
0	0
1	2
20	0
4	67
0	404
0	354
0	314
0	460
4	563
12	384
0	431
15	107
0	3
