group	lib.size	norm.factors	eff.lib.size
C1_B1	942234	1.0015882324523	943730.486616462
C1_B2	940203	1.00375183509993	943730.486616462
C2_B1	935596	1.00869444355947	943730.486616462
C2_B2	930638	1.01406829144787	943730.486616462
C3_B1	935687	1.00859634323921	943730.486616462
C4_B2	939857	1.0041213574155	943730.486616462
OA2_B1	941825	1.00202318542878	943730.486616462
OA2_B2	956685	0.986458956308986	943730.486616462
OA3_B1	942498	0.977644017336678	921427.531051785
OA3_B2	936259	1.00798014931388	943730.486616462
OA4_B1	943346	1.00040757751288	943730.486616462
OA4_B2	938195	1.00590014508334	943730.486616462
OASH1_B1	950254	0.932605017922991	886211.648701394
OASH1_B2	951028	0.992326710271897	943730.486616462
OASH2_B1	941247	1.00263850680689	943730.486616462
OASH2_B2	938490	1.00558395573364	943730.486616462
OASH4_B1	933939	1.01048407510176	943730.486616462
OASH4_B2	946991	0.996556975321267	943730.486616462
SH1_B1	936839	1.00735610560242	943730.486616462
SH2_B1	943296	1.0004606047481	943730.486616462
SH2_B2	931450	1.01318426820169	943730.486616462
SH3_B2	931277	1.01337248382217	943730.486616462
SH4_B1	939998	1.00397073889143	943730.486616462
SH4_B2	940424	1.00351595303444	943730.486616462
