UniqueCount	AmbigCount
0	73
4	42
1	74
2	71
31	2955
110	398
828	3015
8	187
27	70
120	564
142	485
3316	280
24	11
0	2
0	0
43	58
16	46
21	40
1	11
0	0
0	6
0	5
6	10
0	0
0	0
0	7
0	0
2	12
0	5
4	3
0	3
0	1
0	1
0	0
4	1
8	101
0	0
16	68
2	0
0	0
0	25
49	47
7	0
0	0
0	0
14	0
6	11
0	0
0	25
4	44
0	9
77	145
12	144
2	19
0	0
0	16
0	80
1	94
0	0
0	0
0	0
2	7
0	4
3	4
0	30
24	10
0	27
6	47
2	20
0	4
3	8
3	0
0	53
0	88
1	95
0	38
10	0
1	4
0	0
14	66
1	0
4	1
3	0
0	145
10	138
2	4
55	324
0	13
161	221
0	73
10	68
1	117
15	7
1	4
3	0
9	125
21	33
0	57
8	4
2	0
0	42
0	6
1	35
0	0
0	0
5	1
12	46
0	792
192	1237
4	544
0	133
4	208
9	477
1	1
0	7
95	1264
1	0
1	0
3	7
0	0
1	0
0	2
12	52
0	2
0	1
0	17
13	17
0	17
3	17
0	4
0	0
1	2
10	0
2	486
36	542
34	6
121	9
8	11
1	30
1	21
15	477
3	472
0	0
1	4
5	12
0	0
2	283
6	75
5	102
1	156
24	228
0	146
0	0
0	1
0	1
3	0
0	115
0	106
0	0
2	101
0	1
1	97
0	1
1	0
405	2
0	404
0	380
0	434
0	411
3	2
13	377
0	0
6	896
2	423
0	0
1	0
2	8
21	40
1	0
0	0
0	0
5	0
0	0
0	0
13	1
0	0
0	0
7	7
21	7
0	0
0	0
0	0
4	10
5	2
3	1
3	0
0	0
0	9
0	141
0	46
0	66
1	161
1	9
4	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	1
0	1
1	0
0	0
26	2
4	6
0	6
3	24
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	12
1	0
269	201
0	478
7	454
36	0
0	2
0	0
16	4
0	0
2	1
1	1
29	1
25	26
8	0
7	5
24	33
0	1
0	0
0	0
0	0
1	3
5	0
3	1
1	1
0	0
0	0
0	0
1	4
0	0
1	4
0	10
6	14
0	0
0	0
0	1
2	4
0	4
0	0
0	0
1	0
0	0
0	0
0	0
4	1
0	0
1	3
0	0
1	1
0	1
13	3
123	0
0	149
1	204
6	12
0	0
24	25
0	0
1	0
0	0
0	0
0	0
0	0
4	37
3	17
34	50
13	9
7	0
4	0
4	2
280	7
45	0
4	0
0	0
0	0
0	0
0	0
0	4
1	0
0	0
1	6
0	0
0	0
3	1
1	0
2	0
0	0
1	0
1	14
2	68
3	6
8	68
3	50
3	33
128	107
1	0
1	6
3	0
