UniqueCount	AmbigCount
2	59
3	33
1	58
0	57
13	471
44	220
148	504
0	236
145	62
490	1268
0	265
1179	100
10	4
0	2
0	0
3	51
11	39
54	38
2	5
0	0
15	16
0	5
2	8
0	0
0	0
3	70
1	2
0	5
0	7
2	3
0	2
0	2
7	1
0	0
3	1
4	96
0	1
1	61
0	1
0	0
0	10
1	10
4	0
0	0
2	0
13	6
0	0
0	0
0	6
1	6
0	2
14	96
19	79
1	12
1	31
0	1
1	16
1	19
0	0
1	0
1	0
6	7
0	6
10	18
0	54
102	39
0	38
20	116
6	70
0	10
0	1
0	0
1	28
0	88
0	94
0	32
0	0
0	2
0	0
31	44
0	0
5	0
6	0
0	98
1	81
8	4
15	64
0	15
45	184
0	100
0	74
0	27
17	5
1	5
0	0
2	213
1	42
0	134
44	4
2	0
11	52
0	1
1	21
0	0
0	0
2	2
11	71
1	632
136	980
5	424
0	97
0	137
5	343
3	3
0	3
239	1360
2	0
2	0
6	4
0	0
1	0
0	1
171	730
1	4
0	0
0	0
0	0
0	0
3	17
1	12
12	10
0	0
5	0
3	355
17	435
11	3
3	1
3	12
4	23
0	17
0	313
0	309
15	8
0	0
0	1
0	0
2	239
4	65
7	73
0	163
8	167
1	155
0	1
0	10
0	1
0	0
8	79
7	86
1	2
3	86
0	2
5	83
0	1
2	0
321	1
0	432
0	408
0	449
0	423
6	1
3	412
0	0
6	940
5	510
1	0
2	0
1	0
2	1
3	0
0	0
0	1
1	0
0	0
0	0
0	0
1	0
5	0
5	1
2	5
0	1
4	0
1	0
1	9
0	4
0	1
0	0
0	0
0	1
0	16
0	69
0	80
0	27
10	6
0	5
3	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
2	0
0	0
20	0
1	1
0	1
0	1
0	0
0	0
0	3
3	3
2	0
1	1
0	0
0	0
0	8
1	0
230	148
0	354
5	349
27	7
0	0
0	0
0	1
4	0
2	1
0	0
31	5
16	37
7	9
3	2
12	11
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	7
0	0
0	7
0	7
9	14
4	0
0	0
6	1
0	0
0	0
0	0
0	0
0	0
1	122
29	252
1	1
14	3
0	0
0	0
0	0
2	2
0	1
2	0
94	0
0	180
1	230
1	1
0	0
5	10
2	1
0	0
0	0
0	0
0	0
0	0
0	12
0	0
23	47
0	0
9	2
4	2
2	4
215	5
1	0
0	0
0	0
0	0
0	0
2	0
0	2
0	0
0	2
7	11
0	0
0	0
0	0
3	9
0	0
0	0
1	0
0	3
1	36
3	0
2	29
0	18
0	15
38	33
0	0
1	3
3	0
0	0
8	0
0	2
0	2
0	0
0	0
5	0
259	4
2	0
17	1
10	1
0	0
0	0
0	3
1	0
0	0
0	0
2	5
3	2
4	1
1	0
0	2
1	0
0	0
3	0
0	0
0	6
1	7
1	0
14	0
0	0
0	0
42	14
1	0
0	0
0	0
0	0
0	0
0	2
0	2
6	1
24	26
18	1
0	1
0	15
1	8
6	22
0	25
1	1
1	0
0	2
5	1
3	1
3	2
3	1
4	0
5	5
0	0
0	0
0	6
6	0
2	0
0	0
6	6
1	3
2	0
