UniqueCount	AmbigCount
0	60
5	31
1	60
2	57
52	3639
29	133
990	3746
0	466
255	66
2430	6236
0	475
983	77
14	3
0	1
0	0
0	31
3	35
68	32
2	15
0	0
0	2
0	2
4	5
0	0
2	0
2	67
2	3
4	32
0	7
2	7
0	8
7	7
0	0
0	0
3	2
3	85
2	3
10	63
0	1
0	0
0	9
20	13
2	0
1	6
0	0
16	3
0	0
5	11
0	10
0	13
0	1
26	25
4	84
1	24
0	0
0	8
14	116
0	87
0	0
10	3
3	2
0	5
2	3
6	11
0	45
56	21
0	30
14	71
5	36
0	14
6	21
0	0
8	22
0	57
0	61
0	33
1	0
1	1
0	1
14	43
2	5
11	1
91	0
0	94
0	89
0	0
62	224
0	3
45	159
0	125
0	101
0	40
10	1
0	4
1	0
10	198
1	106
0	142
12	7
2	3
0	48
3	1
0	20
0	0
0	0
4	1
9	56
0	620
116	965
1	412
0	86
1	157
1	361
5	6
0	2
103	1329
0	0
0	0
0	2
0	0
0	0
0	0
107	699
0	1
0	0
0	11
2	12
0	11
6	15
0	16
81	24
0	0
3	0
9	328
28	291
11	6
92	5
1	4
3	15
1	14
1	397
0	387
9	7
2	1
5	8
6	2
5	240
2	59
9	91
0	134
42	174
1	136
0	0
0	1
0	3
24	0
7	106
1	88
0	2
5	65
5	5
3	65
1	2
0	0
299	2
0	289
0	268
0	309
0	288
2	2
2	264
1	11
33	749
8	372
1	1
0	0
0	3
0	10
1	0
0	0
2	0
3	0
2	0
0	0
0	0
0	0
1	0
1	0
0	1
0	0
0	0
0	0
0	0
2	0
0	0
3	0
6	3
0	2
0	91
0	36
0	53
1	108
5	5
2	5
2	0
0	1
4	0
0	0
0	1
1	0
0	3
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	18
0	0
0	0
0	1
0	0
0	0
0	4
0	0
0	0
0	2
0	0
213	157
5	385
5	379
45	1
0	6
2	0
0	0
3	0
0	5
5	4
17	1
24	31
5	1
9	4
15	16
0	0
0	0
1	1
0	0
4	0
2	0
1	3
2	2
0	0
0	0
0	0
1	7
0	0
0	7
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	3
3	4
43	4
0	0
0	3
0	0
1	1
0	1
41	2
88	0
22	105
0	117
15	42
0	0
4	4
1	0
0	0
8	1
0	0
0	0
0	0
1	23
0	8
9	33
7	2
6	0
7	1
3	2
200	0
28	0
0	1
0	0
7	0
3	0
0	0
0	0
3	0
0	0
0	0
