UniqueCount	AmbigCount
2	82
9	56
1	81
0	80
19	2779
38	1104
720	2827
1	396
32	56
691	2036
0	452
16	3
12	12
0	2
4	0
61	57
1	43
2	40
2	7
0	0
0	3
0	3
4	8
11	7
5	0
7	121
7	0
1	13
2	4
1	1
1	6
0	2
0	2
9	31
2	3
14	131
0	1
13	58
0	2
0	0
0	15
5	16
6	0
0	7
3	0
21	6
0	0
2	0
0	20
4	30
0	4
65	169
5	127
1	16
0	0
0	18
2	60
3	67
0	0
3	3
0	1
0	9
2	8
6	15
0	41
35	24
0	32
13	74
5	31
0	9
9	33
3	0
2	51
10	33
0	37
1	8
4	0
0	1
3	0
1	38
0	0
14	0
5	0
0	80
0	67
3	7
61	171
0	18
144	227
0	103
10	89
1	305
18	2
4	8
2	4
16	273
0	96
2	177
30	7
1	0
1	49
0	1
1	26
0	0
6	0
4	1
13	93
0	725
165	1133
12	521
1	148
5	169
9	350
13	26
0	7
120	1529
4	13
0	1
2	2
0	0
0	3
0	12
28	110
0	0
4	3
13	13
0	10
4	12
2	11
0	18
36	7
0	0
6	0
4	475
26	540
37	3
91	10
10	11
0	21
2	17
0	273
1	280
0	0
0	0
0	2
0	0
3	250
2	66
9	110
0	225
15	232
3	231
0	0
0	20
0	0
1	18
20	222
7	224
0	1
0	95
1	2
2	93
0	1
2	0
385	2
0	453
0	414
0	481
0	443
2	0
6	411
10	20
43	1368
6	717
1	0
1	0
0	0
0	1
0	0
1	0
1	0
2	0
4	1
0	0
0	0
0	1
0	0
4	1
2	3
1	1
0	0
4	1
7	13
3	3
7	0
0	0
0	0
0	0
0	72
0	25
0	43
1	90
0	13
8	14
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
17	11
6	0
8	10
0	9
4	21
0	0
0	0
0	0
1	0
8	1
7	1
3	0
0	0
0	9
0	0
261	178
1	352
5	341
76	3
0	7
0	0
0	1
2	0
2	2
3	1
20	3
7	34
1	3
17	5
66	32
0	1
1	0
0	0
0	1
0	0
1	1
0	0
0	0
0	0
2	0
0	0
6	5
0	0
0	5
0	2
2	3
4	0
0	0
0	0
4	15
2	11
0	6
1	6
2	1
0	0
0	0
1	0
10	0
0	0
1	3
0	0
0	0
0	0
50	0
156	3
0	153
7	211
4	2
0	0
18	22
4	0
1	0
2	0
0	5
0	0
0	0
2	38
3	24
23	46
11	4
12	0
20	2
0	0
156	2
0	0
5	1
0	0
0	0
0	0
2	0
9	0
0	0
0	0
4	3
0	0
0	0
0	5
0	0
3	1
12	0
0	0
1	4
5	45
0	0
16	53
18	30
1	33
0	17
0	0
0	0
3	0
1	0
0	0
0	0
1	0
0	0
0	1
7	1
259	4
4	0
0	0
1	0
1	0
0	0
0	2
0	0
0	0
0	0
0	0
4	2
1	0
0	0
0	0
13	0
3	2
2	0
3	0
0	3
3	3
3	0
26	1
0	0
1	0
1	3
0	0
3	8
2	8
0	0
0	0
2	5
2	2
22	1
22	28
11	2
0	0
0	30
1	7
12	39
1	21
14	8
0	0
0	4
5	0
4	3
6	2
0	6
0	0
0	0
4	1
0	0
0	1
3	0
0	0
2	20
5	6
0	2
2	0
3	0
7	3
25	15
87	8
0	3
2	56
780	346
1	3
0	246
85	5
2	22
0	3
5	9
0	1
0	1
0	0
1	1
0	59
0	0
0	1
0	2
0	2
0	9
0	2
3	3
0	0
0	0
0	0
0	2
0	3
3	43
2	35
22	49
0	0
0	0
6	1
7	1
0	0
5	0
34	7
0	0
0	0
7	4
0	0
1	45
0	26
0	17
0	0
0	2
0	2
3	0
2	1
11	2
2	1
0	39
0	0
3	43
1	0
5	26
16	7
0	0
2	67
10	75
0	5
67	308
39	12
33	9
4	4
0	9
12	16
0	17
0	5
6	17
0	0
2	1
1	1
2	0
1	0
4	1
2	1
3	0
0	0
2	7
1	4
105	1
1	0
0	0
2	0
17	190
1033	208
0	5
0	0
0	0
3	1
0	0
0	0
0	0
0	0
0	0
0	0
0	4
7	6
2	0
0	0
0	0
0	0
0	0
1	0
1	0
2	2
0	2
104	4
3	0
4	14
0	6
1	1
18	1
5	0
0	0
2	0
0	0
10	1
0	0
5	0
0	0
0	14
2	25
0	24
7	3
0	0
0	0
0	0
2	2
1	0
0	0
0	0
0	0
127	57
1	0
0	0
0	0
2	1
2	1
0	0
0	0
0	0
2	0
0	0
0	2
0	0
0	0
20	199
23	177
0	11
0	0
3	26
341	295
19	127
61	340
1	0
0	0
2	0
9	0
15	35
1	7
17	27
0	1
0	0
3	0
4	26
0	35
0	0
19	7
4	0
8	5
1	5
4	14
0	29
1	32
13	221
2	223
0	0
0	0
4	1
5	0
4	0
1	0
0	0
0	0
0	0
1	0
8	11
0	0
5	0
6	13
0	0
3	0
10	0
5	0
0	0
1	0
0	0
3	10
2	10
0	4
4	4
4	5
3	6
2	34
0	28
1	28
0	20
10	0
0	1
2	2
2	0
0	0
0	0
0	0
1	3
0	3
5	4
0	0
20	432
18	65
15	5
0	0
0	0
19	17
9	17
1	0
0	0
0	0
0	0
0	0
1	4
0	19
33	22
0	19
0	0
0	0
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	3
0	0
1	0
7	1
3	0
0	579
0	590
8	512
0	583
0	593
42	460
0	0
2	54
0	0
0	0
0	0
0	0
3	0
2	8
0	5
0	7
3	7
0	8
6	3
8	0
0	0
0	0
2	15
0	1
5	1
0	0
3	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	16
0	0
2	19
0	294
0	309
16	199
0	450
0	468
32	68
0	0
3	1
3	1
0	0
0	61
3	58
2	8
0	197
0	0
0	0
0	0
122	171
90	90
0	87
0	0
10	0
0	0
34	8
1	0
146	206
90	218
8	1
0	0
394	524
0	0
0	0
0	2
1	1
0	0
0	0
0	1
1	6
26	89
3	4
1	81
1	0
1	0
0	166
11	65
8	167
0	0
0	8
38	8
2	2
2	9
2	0
0	0
2	6
0	0
2	4
0	0
0	0
0	0
0	1
5	0
1	0
2	0
3	0
0	0
30	9
5	63
21	87
4	46
5	46
0	0
7	5
2	3
0	3
0	0
202	135
1	0
39	37
0	2
0	0
0	0
57	372
1	43
0	10
7	84
37	93
0	0
0	0
10	0
2	0
0	0
1	0
0	20
1	0
10	20
13	0
0	0
1	2
132	57
0	19
14	6
6	0
0	0
0	27
4	1
0	27
0	0
0	0
22	3
20	13
0	0
5	4
0	1
1	1
6	14
0	0
0	3
0	4
0	3
0	4
3	5
0	5
0	0
1	4
1	0
0	4
9	43
0	0
92	5
20	15
5	3
2	0
3	0
6	0
0	0
0	0
0	6
24	29
4	27
2	4
0	0
0	1
0	5
0	6
17	84
0	0
1	0
0	0
28	1
0	4
8	9
0	0
0	0
0	0
3	0
5	5
0	0
0	1
2	29
4	41
2	11
0	30
0	261
0	281
0	254
11	213
0	234
0	0
0	14
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	92
0	0
0	0
9	10
1	0
1	0
8	0
0	0
1	0
5	0
21	6
4	5
2	0
0	1
1	0
22	148
0	0
9	0
1	0
1	16
2	11
5	4
0	17
2	0
0	2
5	0
0	3
0	1
0	0
0	0
0	38
0	108
0	34
0	38
1	31
2	105
11	106
0	54
3	107
0	101
17	8
0	0
0	0
1	0
7	1
5	0
4	36
0	36
6	3
0	0
8	0
27	37
3	19
13	2
0	0
0	4
1	5
3	5
0	5
2	0
0	0
0	3
4	6
0	7
0	0
3	5
0	3
0	0
0	0
0	0
18	4
2	2
5	11
0	0
0	0
4	2
4	1
1	0
0	2
0	0
2	6
5	1
0	0
0	8
0	8
1	5
0	0
1	0
3	0
1	0
0	0
61	12
0	0
0	0
0	0
0	0
9	0
0	2
11	0
339	0
0	0
10	64
0	0
0	0
0	1
0	0
0	5
2	0
1	41
0	131
0	131
41	234
20	0
134	47
6	4
3	3
0	4
8	13
0	1
0	6
7	31
5	16
13	0
10	186
0	39
0	0
3	60
33	224
0	0
45	57
1	0
7	0
0	0
1	5
1	0
8	10
0	2
0	0
0	5
2	0
0	0
0	0
0	0
0	0
0	1
4	0
1	169
1	168
2	169
0	0
0	0
5	3
0	0
0	0
3	1
0	0
0	0
8	0
0	0
9	0
0	0
13	85
0	82
0	79
44	9
1	2
13	3
2	1
2	50
2	49
0	0
0	0
5	5
0	10
10	11
1	0
15	28
2	0
0	1
3	0
0	0
0	1
0	0
0	1
0	0
11	358
74	1015
27	626
1	0
4	2
2	0
0	0
5	0
1	0
3	0
13	7
7	0
0	0
1	3
2	3
4	1
5	10
1	9
11	52
7	8
0	0
26	41
1	40
9	2
9	1
