C1_B2	C2_B1	OASH1_B2	OA4_B2	SH1_B1	OA3_B2	C4_B2	OA2_B2	OASH1_B1	C3_B1	OA4_B1	SH4_B2	OASH2_B2	C2_B2	OA2_B1	OASH4_B1	OA3_B1	SH2_B2	OASH2_B1	C1_B1	SH2_B1	OASH4_B2	SH4_B1	SH3_B2
C1_B2	1	0.171058991880981	0.0938791811325832	-0.550053005378548	0.381580250881248	-0.531972868230985	0.282593189789256	-0.517725847801129	-0.0411361753290377	0.512420699425151	-0.553074601208062	0.217999432583916	-0.208896235766468	0.0536244624144381	-0.552818431223532	-0.39397256187227	-0.539111842575898	0.470992487131512	-0.00736950681626329	0.331433060083032	0.120174439245413	0.248075194954878	0.192719015955929	0.187741622313368
C2_B1	0.171058991880981	1	-0.310002809308333	0.0321391176440507	-0.0624205382696666	-0.0175068894108553	0.177731845513434	-0.0924823447331559	0.232909708704425	0.126753418618787	-0.0138462615614276	-0.0925301524796653	-0.423217985847609	0.0456683430296329	-0.0687932945333175	-0.117712353382137	0.000864579307457161	-0.0664008362431879	-0.147795215912465	0.0798802765843603	-0.203832645499514	-0.0319072296277908	-0.054989909571562	-0.104721838147026
OASH1_B2	0.0938791811325832	-0.310002809308333	1	-0.359944132806473	0.231285436159923	-0.353920932951988	-0.118644196904832	-0.370666450702157	-0.264905225545212	-0.0293384033752501	-0.411745931511116	0.259583730360906	0.191399056560068	-0.109966177096029	-0.42674241302882	-0.246057341470709	-0.390659711809997	0.348565260126537	0.552264645136639	0.214897012223629	0.435342293814241	0.124200364497407	0.189814117281643	0.0617294340770244
OA4_B2	-0.550053005378548	0.0321391176440507	-0.359944132806473	1	-0.605547721312048	0.807558050558618	-0.0662988933032532	0.592968544105748	0.0779425167418304	-0.47748519868036	0.659311351795238	-0.445907646514049	0.0084230642266621	-0.00918068506110362	0.678609354357305	0.408693236637577	0.739892563933668	-0.595926652195003	-0.395195221820963	-0.48671346255195	-0.483608967631347	-0.473383021056205	-0.227436247114274	-0.356952338033357
SH1_B1	0.381580250881248	-0.0624205382696666	0.231285436159923	-0.605547721312048	1	-0.573867233583286	-0.0870898821055276	-0.613211082173255	-0.197730835793278	0.363623098830857	-0.657164537311464	0.274153586077246	0.102661467624217	-0.0674117885956484	-0.638981917662694	-0.35922788046195	-0.623501596712256	0.540387720983994	0.347120076756611	0.338544788418761	0.52940194159208	0.389449777197428	0.176851731575001	0.222580458848655
OA3_B2	-0.531972868230985	-0.0175068894108553	-0.353920932951988	0.807558050558618	-0.573867233583286	1	-0.165119265012195	0.538446794195664	0.0814501488211701	-0.422316978422522	0.596424412462744	-0.376021695264446	0.0383896212791684	-0.00509320826972668	0.622368437484557	0.305588237496109	0.682684176153771	-0.579935610333606	-0.382020195007772	-0.44485360750216	-0.414268496739943	-0.447172326193441	-0.152691193088284	-0.26604820361747
C4_B2	0.282593189789256	0.177731845513434	-0.118644196904832	-0.0662988933032532	-0.0870898821055276	-0.165119265012195	1	0.105537649848505	0.116514877831892	0.0918824872118178	0.137505572411564	-0.270722004544546	-0.393311145788841	-0.0381150867412204	0.0952355693383137	-0.0419550492510494	0.0933008819828247	-0.000274117412255568	-0.304066611898842	-0.0069194588404876	-0.244301381251357	-0.192065098687559	-0.124583596709272	-0.249980653312066
OA2_B2	-0.517725847801129	-0.0924823447331559	-0.370666450702157	0.592968544105748	-0.613211082173255	0.538446794195664	0.105537649848505	1	0.041910843755574	-0.387059659395928	0.763968107704343	-0.426518748742695	-0.151456230906765	-0.150975152567042	0.79241248211076	0.351711594963217	0.698455357535392	-0.608660588732421	-0.404135997031039	-0.464475755633672	-0.449919965745084	-0.411595901267302	-0.168636480038353	-0.311450776942074
OASH1_B1	-0.0411361753290377	0.232909708704425	-0.264905225545212	0.0779425167418304	-0.197730835793278	0.0814501488211701	0.116514877831892	0.041910843755574	1	-0.052586476050418	0.109558588611587	-0.148888275709673	-0.00297842227515362	-0.0509394347304989	0.0177919284333223	0.023486460779507	0.0628907734443014	-0.147835588960052	-0.25201882689751	-0.0321738866131866	-0.321517584934331	0.0797810621033568	-0.202298308985978	-0.147557942295955
C3_B1	0.512420699425151	0.126753418618787	-0.0293384033752501	-0.47748519868036	0.363623098830857	-0.422316978422522	0.0918824872118178	-0.387059659395928	-0.052586476050418	1	-0.445605210586061	0.0558162579879637	-0.163160488750677	0.0306304859330678	-0.429066011470546	-0.227807238910215	-0.438539282806844	0.306904528580243	0.00912946045434003	0.140957682676547	0.181249476908578	0.271608556551241	0.112875355364073	0.134256725483314
