Name,Name_full_over,Name_full_pore,pore_TA,over_TA,sed_type,bucket_ID,over_pH
D11_C1,D11_C1_over,D11_C1_pore,2099.031407,2226.3067,sand,C1,high
D11_C1,D11_C1_over.1,D11_C1_pore.1,2098.08652,2227.210947,sand,C1,high
D11_C1,D11_C1_over.2,D11_C1_pore.2,2101.886389,2226.530222,sand,C1,high
D11_C2,D11_C2_over,D11_C2_pore,1851.247433,2224.213724,sand,C2,high
D11_C2,D11_C2_over.1,D11_C2_pore.1,1848.920775,2221.927707,sand,C2,high
D11_C2,D11_C2_over.2,D11_C2_pore.2,1847.935248,2223.543159,sand,C2,high
D11_OA1,D11_OA1_over.3,D11_OA1_pore,2375.263599,2370.915086,sand,OA1,low
D11_OA1,D11_OA1_over.4,D11_OA1_pore.1,2376.66569,2369.269153,sand,OA1,low
D11_OA1,D11_OA1_over.5,D11_OA1_pore.2,2376.757131,2371.148768,sand,OA1,low
D11_OA2,D11_OA2_over,D11_OA2_pore,2383.58338,1332.948222,sand,OA2,low
D11_OA2,D11_OA2_over.1,D11_OA2_pore.1,2389.461569,1307.694406,sand,OA2,low
D11_OA2,D11_OA2_over.2,D11_OA2_pore.2,2391.390002,1267.453317,sand,OA2,low
D11_OASH1,D11_OASH1_over,D11_OASH1_pore,2725.440836,2207.226075,shells,OASH1,low
D11_OASH1,D11_OASH1_over.1,D11_OASH1_pore.1,2722.453774,2210.030256,shells,OASH1,low
D11_OASH1,D11_OASH1_over.2,D11_OASH1_pore.2,2715.50428,2209.593373,shells,OASH1,low
D11_OASH2,D11_OASH2_over,D11_OASH2_pore,2198.468088,2355.563209,shells,OASH2,low
D11_OASH2,D11_OASH2_over.1,D11_OASH2_pore.1,2198.904971,2377.508976,shells,OASH2,low
D11_OASH2,D11_OASH2_over.2,D11_OASH2_pore.2,2199.118333,2376.117046,shells,OASH2,low
D11_SH1,D11_SH1_over,D11_SH1_pore,2271.285364,2189.191937,shells,SH1,high
D11_SH1,D11_SH1_over.1,D11_SH1_pore.1,2280.988238,2225.808857,shells,SH1,high
D11_SH1,D11_SH1_over.2,D11_SH1_pore.2,2272.108331,2224.91477,shells,SH1,high
D11_SH2,D11_SH2_over,D11_SH2_pore,2252.3673,2228.755279,shells,SH2,high
D11_SH2,D11_SH2_over.1,D11_SH2_pore.1,2235.044367,2229.618886,shells,SH2,high
D11_SH2,D11_SH2_over.2,D11_SH2_pore.2,2253.190266,2226.641983,shells,SH2,high
D18_C1,D18_C1_over,D18_C1_pore,1994.414391,1801.313991,sand,C1,high
D18_C1,D18_C1_over.1,D18_C1_pore.1,1988.753693,1765.500688,sand,C1,high
D18_C1,D18_C1_over.2,D18_C1_pore.2,1838.504975,1819.553099,sand,C1,high
