Short name,Final corrected TA
D1_C1,2239.209172
D1_C1,2269.970198
D1_C1,2269.430353
D1_C2,2240.288864
D1_C2,2244.750231
D1_C2,2244.577073
D1_OA1,2296.697659
D1_OA1,2290.779727
D1_OA1,2291.075114
D1_OA2,2294.670691
D1_OA2,2296.646731
D1_OA2,2296.819889
D1_OASH1,2303.522126
D1_OASH1,2305.925967
D1_OASH1,2291.268644
D1_OASH2,2293.163197
D1_OASH2,2295.943912
D1_OASH2,2295.760569
D1_SH1,2230.245694
D1_SH1,2233.719042
D1_SH1,2232.425449
D1_SH2,2244.750231
D1_SH2,2247.052215
D1_SH2,2244.230757
D1_sump,2243.578868
D1_sump,2248.529152
D1_sump,2247.418903
D1_sumpOA,2293.764158
D1_sumpOA,2294.436418
D1_sumpOA,2293.061339
D11_C1,2226.3067
D11_C1,2227.210947
D11_C1,2226.530222
D11_C1_pore,2099.031407
D11_C1_pore,2098.08652
D11_C1_pore,2101.886389
D11_C2,2224.213724
D11_C2,2221.927707
D11_C2,2223.543159
D11_C2_pore,1851.247433
D11_C2_pore,1848.920775
D11_C2_pore,1847.935248
D11_OA1,2134.103996
D11_OA1,2129.308439
D11_OA1,2128.434672
D11_OA1,2370.915086
D11_OA1,2369.269153
D11_OA1,2371.148768
D11_OA1_pore,2375.263599
D11_OA1_pore,2376.66569
D11_OA1_pore,2376.757131
D11_OA2,1332.948222
D11_OA2,1307.694406
D11_OA2,1267.453317
D11_OA2_pore,2383.58338
D11_OA2_pore,2389.461569
D11_OA2_pore,2391.390002
D11_OASH1,2207.226075
D11_OASH1,2210.030256
D11_OASH1,2209.593373
D11_OASH1_pore,2725.440836
D11_OASH1_pore,2722.453774
D11_OASH1_pore,2715.50428
D11_OASH2,2355.563209
D11_OASH2,2377.508976
D11_OASH2,2376.117046
D11_OASH2_pore,2198.468088
D11_OASH2_pore,2198.904971
D11_OASH2_pore,2199.118333
D11_SH1,2189.191937
D11_SH1,2225.808857
D11_SH1,2224.91477
D11_SH1_pore,2271.285364
D11_SH1_pore,2280.988238
D11_SH1_pore,2272.108331
D11_SH2,2228.755279
D11_SH2,2229.618886
D11_SH2,2226.641983
D11_SH2_pore,2252.3673
D11_SH2_pore,2235.044367
D11_SH2_pore,2253.190266
D11_sump,2223.096116
D11_sump,2223.522839
D11_sump,2224.315325
D11_sumpOA,2376.208486
D11_sumpOA,2373.942789
D11_sumpOA,2373.048702
D18_C1,1801.313991
D18_C1,1765.500688
D18_C1,1819.553099
D18_C1_pore,1994.414391
D18_C1_pore,1988.753693
D18_C1_pore,1838.504975
D18_C2,1803.50682
D18_C2,1797.553687
D18_C2,1806.243172
D18_C2_pore,2133.259627
D18_C2_pore,2132.983432
D18_C2_pore,1974.467882
D18_OA1,1994.875634
D18_OA1,1966.049045
D18_OA1,2017.186063
D18_OA1_pore,2374.877516
D18_OA1_pore,2373.932629
D18_OA1_pore,2369.340274
D18_OA2,2163.775798
D18_OA2,2052.95353
D18_OA2,2167.598336
D18_OA2_pore,2354.567521
D18_OA2_pore,2357.148181
D18_OA2_pore,2357.422503
D18_OASH1,1964.524857
D18_OASH1,1968.56549
D18_OASH1,1816.93436
D18_OASH1_pore,2765.991996
D18_OASH1_pore,2758.626792
D18_OASH1_pore,2764.324596
D18_OASH2,2136.91154
D18_OASH2,2137.566225
D18_OASH2,2134.732668
D18_OASH2_pore,2461.072565
D18_OASH2_pore,2426.548173
D18_OASH2_pore,2458.719792
D18_SH1,1828.616391
D18_SH1,1824.00291
D18_SH1,1825.557786
D18_SH1_pore,1264.431564
D18_SH1_pore,1257.260719
D18_SH1_pore,1253.670183
D18_SH2,1863.612573
D18_SH2,1861.210432
D18_SH2,1742.889306
D18_SH2_pore,2139.765557
D18_SH2_pore,2138.671006
D18_SH2_pore,2140.031522
D18_sump,2130.947771
D18_sump,2133.188021
D18_sump,2132.195764
D18_sump,1952.679796
D18_sump,1955.081938
D18_sump,1910.485662
D25_C1,2079.320366
D25_C1,2045.005346
D25_C1,2080.549064
D25_C1_pore,2063.655434
D25_C1_pore,2056.217513
D25_C1_pore,2064.22137
D25_C2,2087.144117
D25_C2,2089.155812
D25_C2,2088.790049
D25_C2_pore,1914.161982
D25_C2_pore,1935.666369
D25_C2_pore,1766.660061
D25_OA1_pore,2208.902487
D25_OA1_pore,2210.121697
D25_OA1_pore,2211.036104
D25_OA2,2131.249014
D25_OA2,2129.999324
D25_OA2,2134.764401
D25_OA2_pore,2289.360142
D25_OA2_pore,2288.405095
D25_OA2_pore,2291.839201
D25_OASH1,2147.724068
D25_OASH1,2097.640684
D25_OASH1,2151.253228
D25_OASH1_pore,2974.809783
D25_OASH1_pore,2974.565941
D25_OASH1_pore,2972.320564
