sample,pore_sat,over_pH,sed_type,bucket_ID
D11_C1_pore,1.109216516,high,sand,C1
D11_C2_pore,0.9029386237,high,sand,C2
D11_OA1_pore,0.5219281355,low,sand,OA1
D11_OASH1_pore,0.9516561778,low,shells,OASH1
D18_C2_pore,0.876126624,high,sand,C2
D18_OASH1_pore,0.8036655987,low,shells,OASH1
D18_OASH2_pore,0.8050597613,low,shells,OASH2
D25_C1_pore,0.5096163913,high,sand,C1
D25_C2_pore,0.7330604301,high,sand,C2
D25_OA1_pore,0.2196838809,low,sand,OA1
D25_OA2_pore,0.2026297495,low,sand,OA2
D25_OASH1_pore,0.9355230621,low,shells,OASH1
D25_OASH2_pore,0.8269729797,low,shells,OASH2
D25_SH1_pore,0.9908014506,high,shells,SH1
D25_SH2_pore,0.9612243163,high,shells,SH2
D32_C1_pore,0.4486461361,high,sand,C1
D32_C2_pore,0.6654145963,high,sand,C2
D32_OA1_pore,0.2872559491,low,sand,OA1
D32_OA2_pore,0.3753850922,low,sand,OA2
D32_OASH1_pore,0.9934518916,low,shells,OASH1
D32_OASH2_pore,0.9229763647,low,shells,OASH2
D32_SH1_pore,1.114420845,high,shells,SH1
D32_SH2_pore,1.027506409,high,shells,SH2
D39_C1_pore,0.3560042315,high,sand,C1
D39_C2_pore,0.4451005528,high,sand,C2
D39_OA1_pore,0.2468339548,low,sand,OA1
D39_OA2_pore,0.2854402099,low,sand,OA2
D39_OASH1_pore,0.7994575819,low,shells,OASH1
D39_OASH2_pore,0.8113143063,low,shells,OASH2
D39_SH1_pore,0.9400690816,high,shells,SH1
D39_SH2_pore,0.9036891429,high,shells,SH2
D4_OA1_pore,0.3804347944,low,sand,OA1
D4_OASH1_pore,0.8743686899,low,shells,OASH1
D4_OASH2_pore,0.8746664052,low,shells,OASH2
D4_SH2_pore,1.311243368,high,shells,SH2
D46_C1_pore,0.3877056036,high,sand,C1
D46_C2_pore,0.3913571824,high,sand,C2
D46_OA1_pore,0.3206424245,low,sand,OA1
D46_OA2_pore,0.3143775565,low,sand,OA2
D46_OASH1_pore,0.9144435634,low,shells,OASH1
D46_OASH2_pore,0.925193294,low,shells,OASH2
D46_SH1_pore,0.9680435127,high,shells,SH1
D46_SH2_pore,0.954561734,high,shells,SH2
D53_C1_pore,0.4199283552,high,sand,C1
D53_OA1_pore,0.2578610805,low,sand,OA1
D53_OA2_pore,0.2871129906,low,sand,OA2
D53_OASH1_pore,0.918618159,low,shells,OASH1
D53_OASH2_pore,0.8828739485,low,shells,OASH2
D53_SH1_pore,0.8808847226,high,shells,SH1
D53_SH2_pore,0.9182688905,high,shells,SH2
D60_C1_pore,0.5200979192,high,sand,C1
D60_C2_pore,0.3328457671,high,sand,C2
D60_OA1_pore,0.371815462,low,sand,OA1
D60_OA2_pore,0.295048014,low,sand,OA2
D60_OASH1_pore,0.8480935286,low,shells,OASH1
D60_OASH2_pore,0.881078397,low,shells,OASH2
D60_SH1_pore,1.013764566,high,shells,SH1
D60_SH2_pore,1.021222269,high,shells,SH2
D67_C1_pore,0.3648755474,high,sand,C1
D67_C2_pore,0.3738655471,high,sand,C2
D67_OA1_pore,0.291955149,low,sand,OA1
D67_OA2_pore,0.3224972428,low,sand,OA2
D67_OASH1_pore,0.7650844391,low,shells,OASH1
D67_OASH2_pore,0.7614622857,low,shells,OASH2
D67_SH1_pore,0.8797086278,high,shells,SH1
D67_SH2_pore,0.8943137908,high,shells,SH2
D74_C1_pore,0.3758165108,high,sand,C1
D74_C2_pore,0.3502750568,high,sand,C2
D74_OA1_pore,0.2593871898,low,sand,OA1
D74_OA2_pore,0.3005293071,low,sand,OA2
D74_OASH1_pore,0.8046162265,low,shells,OASH1
D74_OASH2_pore,0.8249559395,low,shells,OASH2
D74_SH1_pore,0.9485485475,high,shells,SH1
D74_SH2_pore,0.9637244135,high,shells,SH2
D81_C1_pore,0.3580347693,high,sand,C1
D81_C2_pore,0.3662790911,high,sand,C2
D81_OA1_pore,0.3106765525,low,sand,OA1
D81_OA2_pore,0.2586729342,low,sand,OA2
D81_OASH1_pore,0.7458708218,low,shells,OASH1
D81_OASH2_pore,0.7594840849,low,shells,OASH2
D81_SH1_pore,0.8152780619,high,shells,SH1
D81_SH2_pore,0.8690152903,high,shells,SH2
D88_C1_pore,0.3666657354,high,sand,C1
D88_C2_pore,0.3338291169,high,sand,C2
D88_OA1_pore,0.3560605426,low,sand,OA1
D88_OA2_pore,0.303849751,low,sand,OA2
D88_OASH1_pore,0.9555457716,low,shells,OASH1
D88_OASH2_pore,0.8896295246,low,shells,OASH2
D88_SH1_pore,0.8672044355,high,shells,SH1
D88_SH2_pore,0.8695559014,high,shells,SH2
