Sample,OmegaAragonite
D1_C1,1.6537504
D1_OA1,0.578645043
D1_OASH1,0.548402171
D1_SH1,1.520918549
D4_C1,1.502309135
D4_C2,1.536094803
D4_OA1_pore,0.380434794
D4_OA2,0.476991233
D4_OASH1_pore,0.87436869
D4_OASH2_pore,0.874666405
D4_SH1,1.468988779
D4_SH2,1.53009421
D4_SH2_pore,1.311243368
D11_C1,1.593753332
D11_C1_pore,1.109216516
D11_C2_pore,0.902938624
D11_OA1,0.657187424
D11_OA1_pore,0.521928136
D11_OA2,0.756033373
D11_OASH1,0.557741787
D11_OASH1_pore,0.951656178
D11_OASH2,0.670310941
D11_SH1,1.496789371
D18_C2,1.06289009
D18_C2_pore,0.876126624
D18_OASH1,0.413494379
D18_OASH1_pore,0.803665599
D18_OASH2,0.477965583
D18_OASH2_pore,0.805059761
D25_C1,1.385808486
D25_C1_pore,0.509616391
D25_C2,1.393734463
D25_C2_pore,0.73306043
D25_OA1_pore,0.219683881
D25_OA2,0.592908016
D25_OA2_pore,0.20262975
D25_OASH1,0.598130397
D25_OASH1_pore,0.935523062
D25_OASH2_pore,0.82697298
D25_SH1,1.40392783
D25_SH1_pore,0.990801451
D25_SH2,1.380819759
D25_SH2_pore,0.961224316
D32_C1,1.144715978
D32_C1_pore,0.448646136
D32_C2,1.163781414
D32_C2_pore,0.665414596
D32_OA1,0.604600838
D32_OA1_pore,0.287255949
D32_OA2,0.569662048
D32_OA2_pore,0.375385092
D32_OASH1,0.641417802
D32_OASH1_pore,0.993451892
D32_OASH2,0.551947411
D32_OASH2_pore,0.922976365
D32_SH1,1.157795365
D32_SH1_pore,1.114420845
D32_SH2,1.19685478
D32_SH2_pore,1.027506409
D39_C1,1.136024752
D39_C1_pore,0.356004232
D39_C2,0.912358365
D39_C2_pore,0.445100553
D39_OA1,0.441855172
D39_OA1_pore,0.246833955
D39_OA2,0.441969884
D39_OA2_pore,0.28544021
D39_OASH1,0.437003904
D39_OASH1_pore,0.799457582
D39_OASH2,0.459724193
D39_OASH2_pore,0.811314306
D39_SH1,1.090895577
D39_SH1_pore,0.940069082
D39_SH2,1.08676604
D39_SH2_pore,0.903689143
D46_C1,1.223019415
D46_C1_pore,0.387705604
D46_C2,1.126209799
D46_C2_pore,0.391357182
D46_OA1,0.49787323
D46_OA1_pore,0.320642425
D46_OA2,0.504252543
D46_OA2_pore,0.314377557
D46_OASH1,0.482454867
D46_OASH1_pore,0.914443563
D46_OASH2,0.508975809
D46_OASH2_pore,0.925193294
D46_SH1,1.19629819
D46_SH1_pore,0.968043513
D46_SH2,1.154107534
D46_SH2_pore,0.954561734
D53_C1,1.095391679
D53_C1_pore,0.419928355
D53_C2,1.136562326
D53_OA1,0.584242794
D53_OA1_pore,0.257861081
D53_OA2,0.58439796
D53_OA2_pore,0.287112991
D53_OASH1,0.578431978
D53_OASH1_pore,0.918618159
D53_OASH2,0.573463612
D53_OASH2_pore,0.882873949
D53_SH1,1.057534055
D53_SH1_pore,0.880884723
D53_SH2,1.121936592
D53_SH2_pore,0.918268891
D60_C1_pore,0.520097919
D60_C2,1.115615367
D60_C2_pore,0.332845767
D60_OA1,0.552337988
D60_OA1_pore,0.371815462
D60_OA2,0.55701523
D60_OA2_pore,0.295048014
D60_OASH1,0.541103814
D60_OASH1_pore,0.848093529
D60_OASH2,0.552548049
D60_OASH2_pore,0.881078397
D60_SH1,1.147139371
D60_SH1_pore,1.013764566
D60_SH2,1.119328123
D60_SH2_pore,1.021222269
D67_C1,0.965606092
D67_C1_pore,0.364875547
D67_C2,0.966324779
D67_C2_pore,0.373865547
D67_OA1,0.532385536
D67_OA1_pore,0.291955149
D67_OA2,0.550540365
D67_OA2_pore,0.322497243
D67_OASH1,0.444259184
D67_OASH1_pore,0.765084439
D67_OASH2,0.459603044
D67_OASH2_pore,0.761462286
D67_SH1,0.994032317
D67_SH1_pore,0.879708628
D67_SH2,0.984390861
D67_SH2_pore,0.894313791
D74_C1,1.185776914
D74_C1_pore,0.375816511
D74_C2,1.245589786
D74_C2_pore,0.350275057
D74_OA1,0.712035397
D74_OA1_pore,0.25938719
D74_OA2,0.722015615
D74_OA2_pore,0.300529307
D74_OASH1,0.759924561
D74_OASH1_pore,0.804616227
D74_OASH2,0.770826425
D74_OASH2_pore,0.82495594
D74_SH1,1.243858878
D74_SH1_pore,0.948548548
D74_SH2,1.273289762
D74_SH2_pore,0.963724414
D81_C1,1.072074286
D81_C1_pore,0.358034769
D81_C2,1.043044105
D81_C2_pore,0.366279091
D81_OA1,0.652372504
D81_OA1_pore,0.310676553
D81_OA2,0.63051994
D81_OA2_pore,0.258672934
D81_OASH1,0.655497305
D81_OASH1_pore,0.745870822
D81_OASH2,0.653939122
D81_OASH2_pore,0.759484085
D81_SH1,1.035888848
D81_SH1_pore,0.815278062
D81_SH2,1.062771743
D81_SH2_pore,0.86901529
D88_C1,0.8230792
D88_C1_pore,0.366665735
D88_C2,0.885056915
D88_C2_pore,0.333829117
D88_OA1,0.656612347
D88_OA1_pore,0.356060543
D88_OA2,0.626871312
D88_OA2_pore,0.303849751
D88_OASH1,0.646363374
D88_OASH1_pore,0.955545772
D88_OASH2,0.64699159
D88_OASH2_pore,0.889629525
D88_SH1,0.854149444
D88_SH1_pore,0.867204436
D88_SH2,0.89638012
D88_SH2_pore,0.869555901
