sample,pH_measured,pH_corrected_TRIS,over_pH,sed_type,bucket_ID
D18_OASH2_pore,7.5257,7.4915,low,shells,OASH2
D18_OASH2_pore,7.5182,7.484,low,shells,OASH2
D11_C2_pore,7.6948,7.6606,high,sand,C2
D11_C2_pore,7.6914,7.6572,high,sand,C2
D4_OA1_pore,7.1863,7.1521,low,sand,OA1
D4_OA1_pore,7.1777,7.1435,low,sand,OA1
D4_SH2_pore,7.7768,7.7426,high,shells,SH2
D4_SH2_pore,7.7656,7.7314,high,shells,SH2
D25_SH1_pore,7.7061,7.6719,high,shells,SH1
D25_SH1_pore,7.7159,7.6817,high,shells,SH1
D25_OA1_pore,6.9923,6.9581,low,sand,OA1
D25_OA1_pore,6.9639,6.9297,low,sand,OA1
D18_C2_pore,7.6373,7.6031,high,sand,C2
D18_C2_pore,7.6375,7.6033,high,sand,C2
D11_C1_pore,7.7333,7.6991,high,sand,C1
D11_C1_pore,7.7254,7.6912,high,sand,C1
D18_OASH1_pore,7.4933,7.4591,low,shells,OASH1
D18_OASH1_pore,7.4378,7.4036,low,shells,OASH1
D25_C1_pore,7.3844,7.3502,high,sand,C1
D25_C1_pore,7.3855,7.3513,high,sand,C1
D25_OA2_pore,6.9291,6.8949,low,sand,OA2
D25_OA2_pore,6.9244,6.8902,low,sand,OA2
D25_SH2_pore,7.6763,7.6421,high,shells,SH2
D25_SH2_pore,7.6949,7.6607,high,shells,SH2
D25_OASH2_pore,7.5218,7.4876,low,shells,OASH2
D25_OASH2_pore,7.5194,7.4852,low,shells,OASH2
D4_OASH1_pore,7.4369,7.4027,low,shells,OASH1
D4_OASH1_pore,7.4247,7.3905,low,shells,OASH1
D4_OASH2_pore,7.5255,7.4913,low,shells,OASH2
D4_OASH2_pore,7.5267,7.4925,low,shells,OASH2
D11_OA1_pore,7.3245,7.2903,low,sand,OA1
D11_OA1_pore,7.3236,7.2894,low,sand,OA1
D11_OASH1_pore,7.5418,7.5076,low,shells,OASH1
D11_OASH1_pore,7.5282,7.494,low,shells,OASH1
D46_OASH1_pore,7.5387,7.5045,low,shells,OASH1
D46_OASH1_pore,7.537,7.5028,low,shells,OASH1
D46_OA2_pore,7.1095,7.0753,low,sand,OA2
D46_OA2_pore,7.1016,7.0674,low,sand,OA2
D39_OA2_pore,7.0747,7.0405,low,sand,OA2
D39_OA2_pore,7.0637,7.0295,low,sand,OA2
D39_OA1_pore,7.0176,6.9834,low,sand,OA1
D39_OA1_pore,7.0251,6.9909,low,sand,OA1
D39_C1_pore,7.1855,7.1513,high,sand,C1
D39_C1_pore,7.1917,7.1575,high,sand,C1
D39_OASH2_pore,7.516,7.4818,low,shells,OASH2
D39_OASH2_pore,7.5228,7.4886,low,shells,OASH2
D32_OA1_pore,7.0343,7.0001,low,sand,OA1
D32_OA1_pore,7.0426,7.0084,low,sand,OA1
D32_SH2_pore,7.6705,7.6363,high,shells,SH2
D32_SH2_pore,7.6791,7.6449,high,shells,SH2
D32_SH1_pore,7.734,7.6998,high,shells,SH1
D32_SH1_pore,7.7347,7.7005,high,shells,SH1
D32_C2_pore,7.5607,7.5265,high,sand,C2
D32_C2_pore,7.5584,7.5242,high,sand,C2
D32_C1_pore,7.3031,7.2689,high,sand,C1
D32_C1_pore,7.2969,7.2627,high,sand,C1
D67_OA1_pore,7.1026,7.0684,low,sand,OA1
D67_OA1_pore,7.1156,7.0814,low,sand,OA1
D67_OA2_pore,7.1592,7.125,low,sand,OA2
D67_OA2_pore,7.1561,7.1219,low,sand,OA2
D67_OASH1_pore,7.4987,7.4645,low,shells,OASH1
D67_OASH1_pore,7.5014,7.4672,low,shells,OASH1
D67_OASH2_pore,7.5374,7.5032,low,shells,OASH2
D67_OASH2_pore,7.5261,7.4919,low,shells,OASH2
D67_C1_pore,7.3122,7.278,high,sand,C1
D67_C1_pore,7.3079,7.2737,high,sand,C1
D67_C2_pore,7.3189,7.2847,high,sand,C2
D67_C2_pore,7.32,7.2858,high,sand,C2
D67_SH1_pore,7.7048,7.6706,high,shells,SH1
D67_SH1_pore,7.7081,7.6739,high,shells,SH1
D67_SH2_pore,7.7377,7.7035,high,shells,SH2
D67_SH2_pore,7.7415,7.7073,high,shells,SH2
D25_C2_pore,7.5977,7.5635,high,sand,C2
D25_C2_pore,7.5951,7.5609,high,sand,C2
D74_OA1_pore,7.0306,6.9964,low,sand,OA1
D74_OA2_pore,7.0634,7.0292,low,sand,OA2
D74_OA2_pore,7.0605,7.0263,low,sand,OA2
81_C2_pore,7.3002,7.266,high,sand,C2
81_C2_pore,7.3151,7.2809,high,sand,C2
81_OA2_pore,7.0489,7.0147,low,sand,OA2
81_OA2_pore,7.0486,7.0144,low,sand,OA2
81_OASH1_pore,7.4624,7.4282,low,shells,OASH1
81_OASH1_pore,7.4701,7.4359,low,shells,OASH1
81_OASH2_pore,7.4714,7.4372,low,shells,OASH2
81_OASH2_pore,7.4742,7.44,low,shells,OASH2
81_OA1_pore,7.1402,7.106,low,sand,OA1
81_OA1_pore,7.1487,7.1145,low,sand,OA1
81_C1_pore,7.2861,7.2519,high,sand,C1
