Sample,pH measured,pH corrected TRIS
D4_SH2,7.8544,7.8202
D4_SH2,7.8473,7.8131
D18_OASH2_pore,7.5257,7.4915
D18_OASH2_pore,7.5182,7.484
D11_C2_pore,7.6948,7.6606
D11_C2_pore,7.6914,7.6572
D4_OA1_pore,7.1863,7.1521
D4_OA1_pore,7.1777,7.1435
D18_OASH2,7.3273,7.2931
D18_OASH2,7.3679,7.3337
D11_SH1,7.8453,7.8111
D11_SH1,7.8504,7.8162
D18_sump,7.8138,7.7796
D18_sump,7.8062,7.772
D11_OASH2,7.4495,7.4153
D11_OASH2,7.4276,7.3934
D4_sump,7.8332,7.799
D4_sump,7.8468,7.8126
D4_SH2_pore,7.7768,7.7426
D4_SH2_pore,7.7656,7.7314
D4_C1,7.8418,7.8076
D4_C1,7.8424,7.8082
D4_SH1,7.8392,7.805
D4_SH1,7.8224,7.7882
D4_OA2,7.2893,7.2551
D4_OA2,7.3102,7.276
D39_sump,7.702,7.6678
D39_sump,7.7096,7.6754
D18_C2,7.7985,7.7643
D18_C2,7.7982,7.764
D11_OASH1,7.3944,7.3602
D11_OASH1,7.3801,7.3459
D25_SH1_pore,7.7061,7.6719
D25_SH1_pore,7.7159,7.6817
D25_OA1_pore,6.9923,6.9581
D25_OA1_pore,6.9639,6.9297
D18_OASH1,7.3143,7.2801
D18_OASH1,7.3489,7.3147
D18_C2_pore,7.6373,7.6031
D18_C2_pore,7.6375,7.6033
D11_C1_pore,7.7333,7.6991
D11_C1_pore,7.7254,7.6912
D18_OASH1_pore,7.4933,7.4591
D18_OASH1_pore,7.4378,7.4036
D1_SH1,7.8417,7.8075
D1_SH1,7.8506,7.8164
D25_C1_pore,7.3844,7.3502
D25_C1_pore,7.3855,7.3513
D25_OA2_pore,6.9291,6.8949
D25_OA2_pore,6.9244,6.8902
D25_SH2_pore,7.6763,7.6421
D25_SH2_pore,7.6949,7.6607
D25_OASH2_pore,7.5218,7.4876
D25_OASH2_pore,7.5194,7.4852
D4_OASH1_pore,7.4369,7.4027
D4_OASH1_pore,7.4247,7.3905
D4_OASH2_pore,7.5255,7.4913
D4_OASH2_pore,7.5267,7.4925
D11_OA1_pore,7.3245,7.2903
D11_OA1_pore,7.3236,7.2894
D11_OASH1_pore,7.5418,7.5076
D11_OASH1_pore,7.5282,7.494
D1_OA1,7.3793,7.3451
D1_OA1,7.384,7.3498
D1_OASH1,7.359,7.3248
D1_OASH1,7.3528,7.3186
D4_C2,7.8477,7.8135
D4_C2,7.8584,7.8242
D46_OAsump,7.3691,7.3349
D46_OAsump,7.3653,7.3311
D46_OASH1_pore,7.5387,7.5045
D46_OASH1_pore,7.537,7.5028
D46_OASH2,7.3703,7.3361
D46_OASH2,7.3652,7.331
D46_OA2_pore,7.1095,7.0753
D46_OA2_pore,7.1016,7.0674
D46_OASH1,7.3503,7.3161
D46_OASH1,7.3561,7.3219
D46_OA2,7.3786,7.3444
D46_OA2,7.376,7.3418
D39_OA2_pore,7.0747,7.0405
D39_OA2_pore,7.0637,7.0295
D39_OASH1,7.3086,7.2744
D39_OASH1,7.32,7.2858
D39_OASH2,7.345,7.3108
D39_OASH2,7.3353,7.3011
D39_OA1,7.3187,7.2845
D39_OA1,7.3226,7.2884
D39_OA2,7.3353,7.3011
D39_OA2,7.3243,7.2901
D39_OA1_pore,7.0176,6.9834
D39_OA1_pore,7.0251,6.9909
D39_C1_pore,7.1855,7.1513
