Row;Strongylocentrotus_purpuratus;Homarus_americanus;Lingula_unguis;Octopus_vulgaris;Lottia_gigantea;Elysia_chlorotica;Pomacea_canaliculata;Potamilus_streckersoni;Magallana_gigas;Crassostrea_virginica;Pinctada_imbricata;Mytilus_edulis;Mizuhopecten_yessoensis;Dreissena_polymorpha;Leukoma_staminea
T1_TRINITY_DN107472_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN10902_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN10990_c5_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN112627_c0_g1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
T1_TRINITY_DN113445_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN11348_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN11475_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN115025_c1_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN11645_c5_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN117273_c1_g1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1
T1_TRINITY_DN117665_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN11802_c27_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN119035_c0_g1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1
T1_TRINITY_DN11906_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN12026_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN12379_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN124162_c3_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN132396_c2_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN13312_c1_g1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1
T1_TRINITY_DN13397_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN134400_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN135510_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN1358_c1_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN142560_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN142834_c1_g1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
T1_TRINITY_DN14439_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN14726_c1_g1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
T1_TRINITY_DN148980_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN152993_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN161622_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN16190_c4_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN164311_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN1677_c7_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN168579_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN174193_c0_g5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN17437_c1_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN1759_c0_g1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
T1_TRINITY_DN1796_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN183846_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN18687_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN1946_c15_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN197892_c0_g1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1
T1_TRINITY_DN19945_c1_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN2_c4198_g1;1;0;0;0;0;0;0;0;1;1;1;1;0;1;1
T1_TRINITY_DN2002_c1_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN20139_c4_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN20173_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN20368_c1_g3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN20596_c1_g1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
T1_TRINITY_DN208595_c0_g1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
T1_TRINITY_DN213562_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
T1_TRINITY_DN21392_c0_g2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
